,categoria,item,quantidade,ano
0,VINHO DE MESA,Tinto,174224052,1970
1,VINHO DE MESA,Branco,748400,1970
2,VINHO DE MESA,Rosado,42236152,1970
3,VINHO FINO DE MESA (VINÍFERA),Tinto,7591557,1970
4,VINHO FINO DE MESA (VINÍFERA),Branco,15562889,1970
5,VINHO FINO DE MESA (VINÍFERA),Rosado,744900,1970
6,SUCO,Suco de uva integral,1097771,1970
7,SUCO,Suco de uva concentrado,0,1970
8,SUCO,Suco de uva adoçado,0,1970
9,SUCO,Suco de uva orgânico,0,1970
10,SUCO,Suco de uva reconstituído,0,1970
11,DERIVADOS,Espumante,0,1970
12,DERIVADOS,Espumante moscatel,0,1970
13,DERIVADOS,Base espumante,0,1970
14,DERIVADOS,Base espumante moscatel,0,1970
15,DERIVADOS,Base Champenoise champanha,0,1970
16,DERIVADOS,Base Charmat champanha,0,1970
17,DERIVADOS,Bebida de uva,0,1970
18,DERIVADOS,Polpa de uva,0,1970
19,DERIVADOS,Mosto simples,7170736,1970
20,DERIVADOS,Mosto concentrado,0,1970
21,DERIVADOS,Mosto de uva com bagaço,0,1970
22,DERIVADOS,Mosto dessulfitado,0,1970
23,DERIVADOS,Mistelas,1072100,1970
24,DERIVADOS,Néctar de uva,0,1970
25,DERIVADOS,Licorosos,282500,1970
26,DERIVADOS,Compostos,0,1970
27,DERIVADOS,Jeropiga,0,1970
28,DERIVADOS,Filtrado,0,1970
29,DERIVADOS,Frisante,0,1970
30,DERIVADOS,Vinho leve,0,1970
31,DERIVADOS,Vinho licoroso,0,1970
32,DERIVADOS,Brandy,0,1970
33,DERIVADOS,Destilado,830030,1970
34,DERIVADOS,Bagaceira,961290,1970
35,DERIVADOS,Licor de bagaceira,0,1970
36,DERIVADOS,Vinagre,0,1970
37,DERIVADOS,Borra líquida,3847673,1970
38,DERIVADOS,Borra seca,0,1970
39,DERIVADOS,Vinho Composto,0,1970
40,DERIVADOS,Pisco,0,1970
41,DERIVADOS,Vinho orgânico,0,1970
42,DERIVADOS,Espumante orgânico,0,1970
43,DERIVADOS,Destilado alcoólico simples de bagaceira,0,1970
44,DERIVADOS,Vinho acidificado,0,1970
45,DERIVADOS,Mosto parcialmente fermentado,0,1970
46,DERIVADOS,Outros derivados,0,1970
